,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Area
142,Nearby NCC Bank,Kathmandu,60000,0,2,4.50,5,North,2.48
143,Lazimpat Kathmandu,Kathmandu,5500000,0,0,0.00,0,South,12.00
144,Dhobikhola Corridor,Kathmandu,7000000,0,0,0.00,0,East,7.00
145,Sitapakha,Lalitpur,25000,2,2,3.00,1,West,3.17
146,New Baneshwor,Kathmandu,30000,0,0,2.00,4,East,1.46
147,Zero km pokhara,Pokhara,18000,1,1,0.00,1,North East,0.50
148,Nearby Kathmandu Fun Valley,Bhaktapur,550000,0,0,0.00,0,South,10.75
149,Sanepa,Lalitpur,115000,0,0,0.00,0,North East,4.09
150,Sanepa,Lalitpur,35000000,0,0,0.00,0,North East,4.09
151,kirtipur,Kathmandu,1900000,0,0,0.00,0,South East,25.00
152,maharajgunj,Kathmandu,600000,5,4,0.00,11,East,80.00
153,Santinagar,Kathmandu,3000000,0,0,0.00,0,North,5.00
154,Birendranagar,Chitwan,180000000,0,0,0.00,0,East,960.00
155,panipokhari,Kathmandu,23000000,3,3,0.00,1,South,4.63
156,Grande Tower,Kathmandu,80000,3,2,4.00,1,North,4.42
157,dharan-8,Dharan,700000,0,0,0.00,0,East,2.59
158,jhamsihel (near British school),Lalitpur,35000,2,2,3.00,2,East,6.00
159,Patangri marg,Kathmandu,290000,0,1,1.00,1,East,2.63
160,Bansbari,Kathmandu,150000,3,4,3.00,2,South,5.00
161,Sano gaucharan,Kathmandu,11000000,0,0,0.00,0,North,9.75
162,Kushlechaur,Kathmandu,55000,0,0,0.00,0,North,1.00
163,Gaushala,Kathmandu,55000,0,0,0.00,0,West,16.00
164,Nayabazar,Kathmandu,11000000,0,0,0.00,0,South,10.00
165,Bhintuna road,Chitwan,20000,0,0,0.00,0,South,12.00
166,Narayantar shivachowk-JORPATI,Kathmandu,20000,1,1,0.00,1,East,1111111111111.00
167,Velpa Hattiban,Lalitpur,3500000,0,0,0.00,0,East,4.00
168,Janta Awash Bhaisepati,Lalitpur,16500000,3,2,5.00,1,East,3.51
169,hattiban,Lalitpur,60000,4,3,0.00,2,East,4.00
170,sallaghari,Bhaktapur,70000,4,3,0.00,2,East,4.00
171,manbhawan,Lalitpur,120000,5,4,0.00,4,East,10.00
172,Mid Baneshwor Main Road,Kathmandu,10000000,0,0,0.00,0,East,26.00
173,In-between kharibot and Paiyatar,Kathmandu,3500000,0,0,0.00,0,East,16.00
174,Manamaiju,Kathmandu,2400000,0,0,0.00,0,South East,4.00
175,Nilbarahi Bode,Bhaktapur,2200000,0,0,0.00,0,East,0.00
176,House No: 496,Kathmandu,275000,0,0,2.00,0,East,24.00
177,Boje Pokhari,Lalitpur,3000000,0,0,0.00,0,East,7.75
